t, Obs_Wetland Cell 6 Water depth (m)_expression
40183.21000,0.851406
40183.22000,0.851305
40183.23000,0.851204
40183.24000,0.851102
40183.25000,0.851001
40183.26000,0.8509
40183.27000,0.850798
40183.28000,0.850697
40183.29000,0.850561
40183.30000,0.850299
40183.31000,0.850038
40183.32000,0.849777
40183.33000,0.849516
40183.34000,0.849254
40183.35000,0.848993
40183.36000,0.848732
40183.37000,0.84847
40183.38000,0.848209
40183.39000,0.847948
40183.40000,0.847687
40183.41000,0.847425
40183.42000,0.847164
40183.43000,0.846903
40183.44000,0.846642
40183.45000,0.84638
40183.46000,0.846119
40183.47000,0.845897
40183.48000,0.84572
40183.49000,0.845543
40183.50000,0.845366
40183.51000,0.845189
40183.52000,0.845012
40183.53000,0.844835
40183.54000,0.844658
40183.55000,0.844481
40183.56000,0.844304
40183.57000,0.844127
40183.58000,0.84395
40183.59000,0.843774
40183.60000,0.843597
40183.61000,0.84342
40183.62000,0.843243
40183.63000,0.843066
40183.64000,0.842889
40183.65000,0.842765
40183.66000,0.842663
40183.67000,0.842562
40183.68000,0.84246
40183.69000,0.842358
40183.70000,0.842257
40183.71000,0.842155
40183.72000,0.842053
40183.73000,0.841952
40183.74000,0.84185
40183.75000,0.841748
40183.76000,0.841647
40183.77000,0.841545
40183.78000,0.841443
40183.79000,0.841342
40183.80000,0.84124
40183.81000,0.841138
40183.82000,0.841037
40183.83000,0.840935
40183.84000,0.840833
40183.85000,0.840731
40183.86000,0.840629
40183.87000,0.840528
40183.88000,0.840426
40183.89000,0.840324
40183.90000,0.840222
40183.91000,0.840121
40183.92000,0.840019
40183.93000,0.839917
40183.94000,0.839815
40183.95000,0.839713
40183.96000,0.839612
40183.97000,0.83951
40183.98000,0.839408
40183.99000,0.839306
40184.00000,0.839204
40184.01000,0.839103
40184.02000,0.839001
40184.03000,0.838899
40184.04000,0.838797
40184.05000,0.838695
40184.06000,0.838594
40184.07000,0.838492
40184.08000,0.83839
40184.09000,0.838288
40184.10000,0.838187
40184.11000,0.838085
40184.12000,0.837983
40184.13000,0.837881
40184.14000,0.837779
40184.15000,0.837678
40184.16000,0.837576
40184.17000,0.837474
40184.18000,0.837354
40184.19000,0.837209
40184.20000,0.837064
40184.21000,0.836919
40184.22000,0.836775
40184.23000,0.83663
40184.24000,0.836485
40184.25000,0.83634
40184.26000,0.836195
40184.27000,0.836051
40184.28000,0.835906
40184.29000,0.835761
40184.30000,0.835616
40184.31000,0.835472
40184.32000,0.835327
40184.33000,0.835182
40184.34000,0.835037
40184.35000,0.834892
40184.36000,0.834661
40184.37000,0.834388
40184.38000,0.834115
40184.39000,0.833842
40184.40000,0.833569
40184.41000,0.833296
40184.42000,0.833023
40184.43000,0.83275
40184.44000,0.832477
40184.45000,0.832204
40184.46000,0.831931
40184.47000,0.831658
40184.48000,0.831385
40184.49000,0.831112
40184.50000,0.830839
40184.51000,0.830566
40184.52000,0.830293
40184.53000,0.83002
40184.54000,0.829902
40184.55000,0.8298
40184.56000,0.829697
40184.57000,0.829594
40184.58000,0.829491
40184.59000,0.829388
40184.60000,0.829285
40184.61000,0.829182
40184.62000,0.82908
40184.63000,0.828977
40184.64000,0.828874
40184.65000,0.828771
40184.66000,0.828668
40184.67000,0.828565
40184.68000,0.828462
40184.69000,0.828359
40184.70000,0.828257
40184.71000,0.828154
40184.72000,0.828052
40184.73000,0.82795
40184.74000,0.827848
40184.75000,0.827746
40184.76000,0.827644
40184.77000,0.827542
40184.78000,0.82744
40184.79000,0.827338
40184.80000,0.827236
40184.81000,0.827134
40184.82000,0.827032
40184.83000,0.82693
40184.84000,0.826828
40184.85000,0.826726
40184.86000,0.826624
40184.87000,0.826522
40184.88000,0.82642
40184.89000,0.826318
40184.90000,0.826216
