t,Obs_Pond water depth (m)_expression_noisy
40179.55,1.28328852768201E-06
40179.56,1.34690504696481E-06
40179.57,1.33701341332183E-06
40179.58,1.30937245163298E-06
40179.59,1.3267742269943E-06
40179.6,1.32106235435487E-06
40179.61,1.29816192971115E-06
40179.62,1.23841165918973E-06
40179.63,1.27251832569544E-06
40179.64,1.25671636726868E-06
40179.65,1.26146940089083E-06
40179.66,1.2291998971581E-06
40179.67,1.28023253431752E-06
40179.68,1.31086965604759E-06
40179.69,1.34960151467541E-06
40179.7,1.34643888924055E-06
40179.71,1.36507539526195E-06
40179.72,1.39943451716005E-06
40179.73,1.43843268764822E-06
40179.74,1.4480078732362E-06
40179.75,1.44213196411183E-06
40179.76,1.42460614215375E-06
40179.77,1.39276019303675E-06
40179.78,1.35457022325376E-06
40179.79,1.36813441813657E-06
40179.8,1.35824619838598E-06
40179.81,1.28478059856898E-06
40179.82,1.28163291954833E-06
40179.83,1.3224728888288E-06
40179.84,1.31316925830927E-06
40179.85,1.24835979887906E-06
40179.86,1.24741406001942E-06
40179.87,1.27825280288114E-06
40179.88,1.28751676262641E-06
40179.89,1.27394555968131E-06
40179.9,1.34309719087666E-06
40179.91,1.41500543466238E-06
40179.92,1.40743449285061E-06
40179.93,1.43595077315222E-06
40179.94,1.4467920318918E-06
40179.95,1.47299187975431E-06
40179.96,1.52669153990294E-06
40179.97,1.55253362031643E-06
40179.98,1.54593142826346E-06
40179.99,1.50818701541255E-06
40180,1.46625358166123E-06
40180.01,1.45841622173977E-06
40180.02,1.49924234602891E-06
40180.03,1.50324538132414E-06
40180.04,1.49671064221178E-06
40180.05,1.49882699022803E-06
40180.06,1.49155546708707E-06
40180.07,1.50571163217762E-06
40180.08,1.45058442738117E-06
40180.09,1.36674814305953E-06
40180.1,1.34735917208381E-06
40180.11,1.30248649018748E-06
40180.12,1.36112842734249E-06
40180.13,1.351738821123E-06
40180.14,1.33917416022318E-06
40180.15,1.28064579974826E-06
40180.16,1.29025020573104E-06
40180.17,1.26725571329233E-06
40180.18,1.30721132840466E-06
40180.19,1.33626456455343E-06
40180.2,1.30484088669944E-06
40180.21,1.31794242199418E-06
40180.22,1.21984732300034E-06
40180.23,1.19860708721461E-06
40180.24,1.24289754583882E-06
40180.25,1.27073284984766E-06
40180.26,1.27605104664441E-06
40180.27,1.27384429093069E-06
40180.28,1.22355302722035E-06
40180.29,1.17896799034156E-06
40180.3,1.18864878760402E-06
40180.31,1.25013639238814E-06
40180.32,1.17656107978544E-06
40180.33,1.19945604296332E-06
40180.34,1.22079619976701E-06
40180.35,1.25365938318078E-06
40180.36,1.22268708121172E-06
40180.37,1.20487661602322E-06
40180.38,1.2069369295704E-06
40180.39,1.17338533424408E-06
40180.4,1.13556282602231E-06
40180.41,1.1108930160536E-06
40180.42,1.11237457934475E-06
40180.43,1.12752154022945E-06
40180.44,1.1296239408774E-06
40180.45,1.13475937169223E-06
40180.46,1.1158254979497E-06
40180.47,1.09673077943553E-06
40180.48,1.13510288361284E-06
40180.49,1.1355319147122E-06
40180.5,1.13499513292359E-06
40180.51,1.16692713631535E-06
40180.52,1.20845628920419E-06
40180.53,1.2508298396378E-06
40180.54,1.2621447530122E-06
40180.55,1.25712380364737E-06
40180.56,1.2640749300777E-06
40180.57,1.2668153819447E-06
40180.58,1.31297839879305E-06
40180.59,1.31790428856299E-06
40180.6,1.33536732356192E-06
40180.61,1.32750502255128E-06
40180.62,1.37211804530627E-06
40180.63,1.28810653116956E-06
40180.64,1.29682839533923E-06
40180.65,1.31882750114051E-06
40180.66,1.27092679420479E-06
40180.67,1.344389649644E-06
40180.68,1.3312825064809E-06
40180.69,1.31833102315302E-06
40180.7,1.2730841353209E-06
40180.71,1.29967941592069E-06
40180.72,1.30194516038901E-06
40180.73,1.27486259506097E-06
40180.74,1.27795367862166E-06
40180.75,1.29730467304659E-06
40180.76,1.33485341791753E-06
40180.77,1.33432095120705E-06
