t,Obs_Soil Moisture_expression_noisy
40335.61,0.362858148458787
40335.62,0.371064846949529
40335.63,0.365318265215434
40335.64,0.364538850934437
40335.65,0.364069991337269
40335.66,0.363790181834046
40335.67,0.361145181136411
40335.68,0.362820887557569
40335.69,0.36281952408932
40335.7,0.363625247807306
40335.71,0.362511942446466
40335.72,0.35599773937216
40335.73,0.359196201443891
40335.74,0.365847068598548
40335.75,0.368230381923789
40335.76,0.372008342195007
40335.77,0.364718176060232
40335.78,0.36489829486668
40335.79,0.359570309152922
40335.8,0.358906175743339
40335.81,0.360470494806597
40335.82,0.366310418755709
40335.83,0.366421352314513
40335.84,0.360351697458618
40335.85,0.350268553012884
40335.86,0.345240641006402
40335.87,0.348311814056437
40335.88,0.350527344014291
40335.89,0.353087186539817
40335.9,0.35133472291432
40335.91,0.351214356589402
40335.92,0.358975514693949
40335.93,0.352431777290753
40335.94,0.354892474072104
40335.95,0.347923996470753
40335.96,0.354656956914888
40335.97,0.355113541395263
40335.98,0.353247324843282
40335.99,0.350732816918492
40336,0.360810688058146
40336.01,0.363179089152032
40336.02,0.36560021224883
40336.03,0.365736680672169
40336.04,0.371265105439938
40336.05,0.373086319571841
40336.06,0.378262536976416
40336.07,0.373820504803733
40336.08,0.375315733890599
40336.09,0.37518919066103
40336.1,0.377453839468233
40336.11,0.378092352966262
40336.12,0.379940645775989
40336.13,0.382741976698753
40336.14,0.378825595562576
40336.15,0.374654783029599
40336.16,0.369080690633775
40336.17,0.372322996878868
40336.18,0.381748635865263
40336.19,0.38027850466206
40336.2,0.378911158103392
40336.21,0.389347950251189
40336.22,0.383374716933408
40336.23,0.387262318170503
40336.24,0.392754584244974
40336.25,0.401687982109472
40336.26,0.401387128153869
40336.27,0.411907826124966
40336.28,0.413731640228476
40336.29,0.414146426901823
40336.3,0.406002734979593
40336.31,0.409478697318737
40336.32,0.417399291877302
40336.33,0.410887166945854
40336.34,0.401387772396648
40336.35,0.41068782381806
40336.36,0.416334865449855
40336.37,0.412757876687478
40336.38,0.410617893443408
40336.39,0.413069482294839
40336.4,0.408627717044634
40336.41,0.409567114554789
40336.42,0.398394281338879
40336.43,0.389249074181657
40336.44,0.384343334972704
40336.45,0.382849722313725
40336.46,0.379236087306546
40336.47,0.380148917098993
40336.48,0.377552005643422
40336.49,0.365697051937928
40336.5,0.361626863080564
40336.51,0.36712124862094
40336.52,0.362245263314291
40336.53,0.358603748580218
40336.54,0.356499152713055
40336.55,0.355412561246757
40336.56,0.356581650028492
40336.57,0.353807756170276
40336.58,0.35494844395135
40336.59,0.358799808043641
40336.6,0.363848017104821
40336.61,0.365284508563724
40336.62,0.369013836161523
40336.63,0.369786551152257
40336.64,0.368041768425895
40336.65,0.37551030060631
40336.66,0.366938642225888
40336.67,0.368665261574155
40336.68,0.371203137684149
40336.69,0.374458308825646
40336.7,0.369255970217317
40336.71,0.366121950243696
40336.72,0.36363258347929
40336.73,0.373309879424728
40336.74,0.382545943498452
40336.75,0.38656129916205
40336.76,0.38506257573869
40336.77,0.387231791316169
40336.78,0.38431158714255
40336.79,0.374519686810977
40336.8,0.369965694740232
40336.81,0.371038488699003
40336.82,0.369579439286286
40336.83,0.367650483200325
40336.84,0.376208400553209
40336.85,0.379122726305677
40336.86,0.376313568157682
40336.87,0.371836170420313
40336.88,0.371383350639372
40336.89,0.370277807612823
40336.9,0.376994192240037
40336.91,0.370164148150213
40336.92,0.367968329967672
40336.93,0.376817120144149
40336.94,0.380164318830627
