t, Obs_Soil Moisture_expression
40210.53000,0.366068
40210.54000,0.36603
40210.55000,0.366009
40210.56000,0.366011
40210.57000,0.366012
40210.58000,0.366013
40210.59000,0.366014
40210.60000,0.366015
40210.61000,0.366017
40210.62000,0.366018
40210.63000,0.366019
40210.64000,0.36602
40210.65000,0.366021
40210.66000,0.366022
40210.67000,0.366024
40210.68000,0.366025
40210.69000,0.366026
40210.70000,0.366025
40210.71000,0.366021
40210.72000,0.366016
40210.73000,0.366012
40210.74000,0.366008
40210.75000,0.366004
40210.76000,0.366
40210.77000,0.365996
40210.78000,0.365992
40210.79000,0.365987
40210.80000,0.365983
40210.81000,0.365979
40210.82000,0.365975
40210.83000,0.365971
40210.84000,0.365967
40210.85000,0.365961
40210.86000,0.365952
40210.87000,0.365944
40210.88000,0.365936
40210.89000,0.365927
40210.90000,0.365919
40210.91000,0.36591
40210.92000,0.365902
40210.93000,0.365894
40210.94000,0.365885
40210.95000,0.365877
40210.96000,0.365869
40210.97000,0.36586
40210.98000,0.365852
40210.99000,0.365844
40211.00000,0.365835
40211.01000,0.365826
40211.02000,0.365818
40211.03000,0.365809
40211.04000,0.3658
40211.05000,0.365791
40211.06000,0.365783
40211.07000,0.365774
40211.08000,0.365765
40211.09000,0.365757
40211.10000,0.365748
40211.11000,0.365739
40211.12000,0.36573
40211.13000,0.365722
40211.14000,0.365713
40211.15000,0.365704
40211.16000,0.365695
40211.17000,0.365686
40211.18000,0.365677
40211.19000,0.365668
40211.20000,0.365659
40211.21000,0.36565
40211.22000,0.365641
40211.23000,0.365632
40211.24000,0.365623
40211.25000,0.365615
40211.26000,0.365606
40211.27000,0.365597
40211.28000,0.365588
40211.29000,0.365579
40211.30000,0.365552
40211.31000,0.36551
40211.32000,0.365467
40211.33000,0.365425
40211.34000,0.365383
40211.35000,0.365341
40211.36000,0.365298
40211.37000,0.365256
40211.38000,0.365214
40211.39000,0.365172
40211.40000,0.365129
40211.41000,0.365087
40211.42000,0.365045
40211.43000,0.365002
40211.44000,0.36496
40211.45000,0.364928
40211.46000,0.364904
40211.47000,0.36488
40211.48000,0.364856
40211.49000,0.364832
40211.50000,0.364808
40211.51000,0.364784
40211.52000,0.36476
40211.53000,0.364736
40211.54000,0.364712
40211.55000,0.364688
40211.56000,0.364664
40211.57000,0.36464
40211.58000,0.364616
40211.59000,0.364592
40211.60000,0.364586
40211.61000,0.364593
40211.62000,0.3646
40211.63000,0.364607
40211.64000,0.364614
40211.65000,0.364621
40211.66000,0.364628
40211.67000,0.364635
40211.68000,0.364643
40211.69000,0.36465
40211.70000,0.364657
40211.71000,0.364664
40211.72000,0.364671
40211.73000,0.364678
40211.74000,0.36476
40211.75000,0.364918
40211.76000,0.365215
40211.77000,0.365673
40211.78000,0.366398
40211.79000,0.367396
40211.80000,0.368604
40211.81000,0.369948
40211.82000,0.371358
40211.83000,0.372789
40211.84000,0.374215
40211.85000,0.375627
40211.86000,0.377852
40211.87000,0.377874
40211.88000,0.377897
40211.89000,0.37792
40211.90000,0.377942
40211.91000,0.377555
40211.92000,0.376871
40211.93000,0.376002
40211.94000,0.375173
40211.95000,0.374876
40211.96000,0.375004
40211.97000,0.375416
40211.98000,0.376712
40211.99000,0.376661
40212.00000,0.37661
40212.01000,0.376559
40212.02000,0.376508
40212.03000,0.376457
40212.04000,0.37583
40212.05000,0.374971
40212.06000,0.373964
40212.07000,0.373133
40212.08000,0.372549
40212.09000,0.372154
40212.10000,0.37189
40212.11000,0.371644
40212.12000,0.371345
40212.13000,0.370994
40212.14000,0.370606
40212.15000,0.369304
40212.16000,0.369289
40212.17000,0.369273
40212.18000,0.369258
40212.19000,0.369243
40212.20000,0.369227
40212.21000,0.369212
40212.22000,0.369197
40212.23000,0.369181
40212.24000,0.369166
40212.25000,0.369151
40212.26000,0.369117
40212.27000,0.369083
40212.28000,0.369052
40212.29000,0.369029
40212.30000,0.369006
40212.31000,0.368982
40212.32000,0.368946
40212.33000,0.368906
40212.34000,0.368866
40212.35000,0.368826
40212.36000,0.368785
40212.37000,0.368733
40212.38000,0.36868
40212.39000,0.368628
40212.40000,0.368575
40212.41000,0.368523
40212.42000,0.36847
40212.43000,0.368419
40212.44000,0.368368
40212.45000,0.368316
40212.46000,0.368265
40212.47000,0.368214
40212.48000,0.368163
40212.49000,0.368112
40212.50000,0.36806
40212.51000,0.368017
40212.52000,0.367991
40212.53000,0.367965
40212.54000,0.367939
40212.55000,0.367913
40212.56000,0.367887
40212.57000,0.367862
40212.58000,0.367836
40212.59000,0.36781
40212.60000,0.367784
40212.61000,0.367758
40212.62000,0.367734
40212.63000,0.367738
40212.64000,0.367741
40212.65000,0.367745
40212.66000,0.367749
40212.67000,0.367752
40212.68000,0.367756
40212.69000,0.36776
40212.70000,0.367764
40212.71000,0.367767
40212.72000,0.367771
40212.73000,0.367775
40212.74000,0.367778
40212.75000,0.367782
40212.76000,0.367786
40212.77000,0.367788
40212.78000,0.367781
40212.79000,0.367773
40212.80000,0.367765
40212.81000,0.367757
40212.82000,0.367749
40212.83000,0.367741
40212.84000,0.367733
40212.85000,0.367725
40212.86000,0.367717
40212.87000,0.367709
40212.88000,0.367701
40212.89000,0.367693
40212.90000,0.367685
40212.91000,0.367677
40212.92000,0.367669
40212.93000,0.36766
40212.94000,0.367651
40212.95000,0.367643
40212.96000,0.367634
40212.97000,0.367625
40212.98000,0.367616
40212.99000,0.367607
40213.00000,0.367598
40213.01000,0.367589
40213.02000,0.36758
40213.03000,0.367572
40213.04000,0.367563
40213.05000,0.367554
40213.06000,0.367545
40213.07000,0.367536
40213.08000,0.367527
40213.09000,0.367518
40213.10000,0.367509
40213.11000,0.367501
40213.12000,0.367492
40213.13000,0.367483
40213.14000,0.367474
40213.15000,0.367465
40213.16000,0.367456
40213.17000,0.367447
40213.18000,0.367438
40213.19000,0.367429
40213.20000,0.36742
40213.21000,0.367411
40213.22000,0.3674
40213.23000,0.367374
40213.24000,0.367348
40213.25000,0.367322
40213.26000,0.367296
40213.27000,0.36727
40213.28000,0.367244
40213.29000,0.367218
40213.30000,0.367192
40213.31000,0.367166
40213.32000,0.36714
40213.33000,0.367114
40213.34000,0.367088
40213.35000,0.367062
40213.36000,0.367036
40213.37000,0.367008
40213.38000,0.366965
40213.39000,0.366922
40213.40000,0.366879
40213.41000,0.366836
40213.42000,0.366792
40213.43000,0.366749
40213.44000,0.366706
40213.45000,0.366663
40213.46000,0.36662
40213.47000,0.366577
40213.48000,0.366534
40213.49000,0.366491
40213.50000,0.366448
40213.51000,0.366405
40213.52000,0.366367
40213.53000,0.366361
40213.54000,0.366355
40213.55000,0.366349
40213.56000,0.366342
40213.57000,0.366336
40213.58000,0.36633
40213.59000,0.366324
40213.60000,0.366317
40213.61000,0.366311
40213.62000,0.366305
40213.63000,0.366299
40213.64000,0.366292
40213.65000,0.366286
40213.66000,0.36628
40213.67000,0.366275
40213.68000,0.366274
40213.69000,0.366273
40213.70000,0.366272
