t, Obs_Pond water depth (m)_expression
40182.03000,9.72931e-07
40182.04000,9.71629e-07
40182.05000,9.70349e-07
40182.06000,9.69089e-07
40182.07000,9.67828e-07
40182.08000,9.66567e-07
40182.09000,9.65306e-07
40182.10000,9.64046e-07
40182.11000,9.62785e-07
40182.12000,9.61524e-07
40182.13000,9.60264e-07
40182.14000,9.59003e-07
40182.15000,9.57742e-07
40182.16000,9.56481e-07
40182.17000,9.55221e-07
40182.18000,9.5396e-07
40182.19000,9.52699e-07
40182.20000,9.51438e-07
40182.21000,9.50178e-07
40182.22000,9.48917e-07
40182.23000,9.47609e-07
40182.24000,9.46287e-07
40182.25000,9.44965e-07
40182.26000,9.43642e-07
40182.27000,9.4232e-07
40182.28000,9.40998e-07
40182.29000,9.39675e-07
40182.30000,9.38353e-07
40182.31000,9.37031e-07
40182.32000,9.35708e-07
40182.33000,9.34386e-07
40182.34000,9.33064e-07
40182.35000,9.31741e-07
40182.36000,9.30419e-07
40182.37000,9.29097e-07
40182.38000,9.27774e-07
40182.39000,9.26452e-07
40182.40000,9.2513e-07
40182.41000,9.23833e-07
40182.42000,9.22537e-07
40182.43000,9.2124e-07
40182.44000,9.19944e-07
40182.45000,9.18647e-07
40182.46000,9.17351e-07
40182.47000,9.16055e-07
40182.48000,9.14758e-07
40182.49000,9.13462e-07
40182.50000,9.12165e-07
40182.51000,9.10869e-07
40182.52000,9.09572e-07
40182.53000,9.08276e-07
40182.54000,9.06979e-07
40182.55000,9.05683e-07
40182.56000,9.04387e-07
40182.57000,9.0309e-07
40182.58000,9.01848e-07
40182.59000,9.00771e-07
40182.60000,8.99694e-07
40182.61000,8.98616e-07
40182.62000,8.97539e-07
40182.63000,8.96462e-07
40182.64000,8.95384e-07
40182.65000,8.94307e-07
40182.66000,8.9323e-07
40182.67000,8.92152e-07
40182.68000,8.91075e-07
40182.69000,8.89998e-07
40182.70000,8.88921e-07
40182.71000,8.87843e-07
40182.72000,8.86766e-07
40182.73000,8.85689e-07
40182.74000,8.84611e-07
40182.75000,8.83534e-07
40182.76000,8.82473e-07
40182.77000,8.8143e-07
40182.78000,8.80386e-07
40182.79000,8.79343e-07
40182.80000,8.783e-07
40182.81000,8.77256e-07
40182.82000,8.76213e-07
40182.83000,8.75169e-07
40182.84000,8.74126e-07
40182.85000,8.73082e-07
40182.86000,8.72039e-07
40182.87000,8.70995e-07
40182.88000,8.69952e-07
40182.89000,8.68908e-07
40182.90000,8.67865e-07
40182.91000,8.66822e-07
